content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
scene,dark,dark_heavy,Canny Only,0.1811965811965812,2340,460
scene,dark,dark_heavy,CLAHE + Canny,0.3371794871794872,2340,852
scene,dark,dark_heavy,HistEq + Canny,0.8504273504273504,2340,36671
scene,dark,dark_heavy,Adaptive Thresh,0.4948717948717949,2340,234084
scene,dark,dark_heavy,Ours (ADRR + Canny),0.1717948717948718,2340,5480
scene,dark,dark_moderate,Canny Only,0.7333333333333333,2340,1844
scene,dark,dark_moderate,CLAHE + Canny,0.8337606837606838,2340,2124
scene,dark,dark_moderate,HistEq + Canny,0.8658119658119658,2340,28385
scene,dark,dark_moderate,Adaptive Thresh,0.4948717948717949,2340,228072
scene,dark,dark_moderate,Ours (ADRR + Canny),0.7333333333333333,2340,1844
scene,dark,dark_mild,Canny Only,0.955982905982906,2340,2341
scene,dark,dark_mild,CLAHE + Canny,0.944017094017094,2340,2384
scene,dark,dark_mild,HistEq + Canny,0.8688034188034188,2340,31693
scene,dark,dark_mild,Adaptive Thresh,0.4948717948717949,2340,210156
scene,dark,dark_mild,Ours (ADRR + Canny),0.955982905982906,2340,2341
scene,motion_blur,mblur_severe_h,Canny Only,0.15726495726495726,2340,1143
scene,motion_blur,mblur_severe_h,CLAHE + Canny,0.1658119658119658,2340,1841
scene,motion_blur,mblur_severe_h,HistEq + Canny,0.1371794871794872,2340,2976
scene,motion_blur,mblur_severe_h,Adaptive Thresh,0.6384615384615384,2340,228885
scene,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.15726495726495726,2340,1143
scene,motion_blur,mblur_moderate_h,Canny Only,0.2064102564102564,2340,1664
scene,motion_blur,mblur_moderate_h,CLAHE + Canny,0.20213675213675214,2340,2571
scene,motion_blur,mblur_moderate_h,HistEq + Canny,0.13846153846153847,2340,2602
scene,motion_blur,mblur_moderate_h,Adaptive Thresh,0.5188034188034188,2340,225365
scene,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.2064102564102564,2340,1664
scene,motion_blur,mblur_moderate_d,Canny Only,0.24786324786324787,2340,1480
scene,motion_blur,mblur_moderate_d,CLAHE + Canny,0.23717948717948717,2340,2461
scene,motion_blur,mblur_moderate_d,HistEq + Canny,0.07735042735042735,2340,2631
scene,motion_blur,mblur_moderate_d,Adaptive Thresh,0.36324786324786323,2340,221575
scene,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.24786324786324787,2340,1480
scene,motion_blur,mblur_mild_v,Canny Only,0.2858974358974359,2340,2113
scene,motion_blur,mblur_mild_v,CLAHE + Canny,0.28547008547008546,2340,3072
scene,motion_blur,mblur_mild_v,HistEq + Canny,0.15598290598290598,2340,2505
scene,motion_blur,mblur_mild_v,Adaptive Thresh,0.32222222222222224,2340,223337
scene,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.2858974358974359,2340,2113
scene,gaussian_blur,gblur_heavy,Canny Only,0.020512820512820513,2340,211
scene,gaussian_blur,gblur_heavy,CLAHE + Canny,0.12094017094017094,2340,654
scene,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,2340,2459
